,STOCK_SYMBOL,LOT_SIZE,INSERT_TS
0,FINNIFTY,40,2021-12-24 12:25:37.953379+05:30
1,NIFTY,50,2021-12-24 12:25:37.953379+05:30
2,BANKNIFTY,25,2021-12-24 12:25:37.953379+05:30
3,AARTIIND,850,2021-12-24 12:25:37.953379+05:30
4,ACC,250,2021-12-24 12:25:37.953379+05:30
5,ABBOTINDIA,25,2021-12-24 12:25:37.953379+05:30
6,ALKEM,200,2021-12-24 12:25:37.953379+05:30
7,AMARAJABAT,1000,2021-12-24 12:25:37.953379+05:30
8,ATUL,75,2021-12-24 12:25:37.953379+05:30
9,ADANIPORTS,1250,2021-12-24 12:25:37.953379+05:30
10,APOLLOHOSP,125,2021-12-24 12:25:37.953379+05:30
11,ASHOKLEY,4500,2021-12-24 12:25:37.953379+05:30
12,AXISBANK,1200,2021-12-24 12:25:37.953379+05:30
13,BAJFINANCE,125,2021-12-24 12:25:37.953379+05:30
14,ASIANPAINT,150,2021-12-24 12:25:37.953379+05:30
15,ASTRAL,275,2021-12-24 12:25:37.953379+05:30
16,AUBANK,500,2021-12-24 12:25:37.953379+05:30
17,BAJAJFINSV,75,2021-12-24 12:25:37.953379+05:30
18,BANDHANBNK,1800,2021-12-24 12:25:37.953379+05:30
19,BSOFT,1300,2021-12-24 12:25:37.953379+05:30
20,CANBK,5400,2021-12-24 12:25:37.953379+05:30
21,BATAINDIA,550,2021-12-24 12:25:37.953379+05:30
22,CHAMBLFERT,1500,2021-12-24 12:25:37.953379+05:30
23,COALINDIA,4200,2021-12-24 12:25:37.953379+05:30
24,BHARATFORG,750,2021-12-24 12:25:37.953379+05:30
25,COFORGE,100,2021-12-24 12:25:37.953379+05:30
26,BHARTIARTL,1886,2021-12-24 12:25:37.953379+05:30
27,BHEL,10500,2021-12-24 12:25:37.953379+05:30
28,BOSCHLTD,50,2021-12-24 12:25:37.953379+05:30
29,BPCL,1800,2021-12-24 12:25:37.953379+05:30
30,EICHERMOT,350,2021-12-24 12:25:37.953379+05:30
31,BRITANNIA,200,2021-12-24 12:25:37.953379+05:30
32,CADILAHC,1100,2021-12-24 12:25:37.953379+05:30
33,FSL,2600,2021-12-24 12:25:37.953379+05:30
34,CANFINHOME,975,2021-12-24 12:25:37.953379+05:30
35,GSPL,1700,2021-12-24 12:25:37.953379+05:30
36,CIPLA,650,2021-12-24 12:25:37.953379+05:30
37,HCLTECH,700,2021-12-24 12:25:37.953379+05:30
38,COLPAL,350,2021-12-24 12:25:37.953379+05:30
39,HDFCLIFE,1100,2021-12-24 12:25:37.953379+05:30
40,COROMANDEL,625,2021-12-24 12:25:37.953379+05:30
41,HINDALCO,1075,2021-12-24 12:25:37.953379+05:30
42,CROMPTON,1100,2021-12-24 12:25:37.953379+05:30
43,INDIGO,250,2021-12-24 12:25:37.953379+05:30
44,CUMMINSIND,600,2021-12-24 12:25:37.953379+05:30
45,DABUR,1250,2021-12-24 12:25:37.953379+05:30
46,INDUSTOWER,2800,2021-12-24 12:25:37.953379+05:30
47,DELTACORP,2300,2021-12-24 12:25:37.953379+05:30
48,DIVISLAB,100,2021-12-24 12:25:37.953379+05:30
49,DIXON,125,2021-12-24 12:25:37.953379+05:30
50,ITC,3200,2021-12-24 12:25:37.953379+05:30
51,DRREDDY,125,2021-12-24 12:25:37.953379+05:30
52,EXIDEIND,3600,2021-12-24 12:25:37.953379+05:30
53,FEDERALBNK,10000,2021-12-24 12:25:37.953379+05:30
54,GAIL,6100,2021-12-24 12:25:37.953379+05:30
55,LAURUSLABS,900,2021-12-24 12:25:37.953379+05:30
56,GMRINFRA,22500,2021-12-24 12:25:37.953379+05:30
57,GODREJCP,500,2021-12-24 12:25:37.953379+05:30
58,GODREJPROP,325,2021-12-24 12:25:37.953379+05:30
59,GRANULES,1550,2021-12-24 12:25:37.953379+05:30
60,GRASIM,475,2021-12-24 12:25:37.953379+05:30
61,MANAPPURAM,3000,2021-12-24 12:25:37.953379+05:30
62,GUJGASLTD,1250,2021-12-24 12:25:37.953379+05:30
63,HAL,475,2021-12-24 12:25:37.953379+05:30
64,HAVELLS,500,2021-12-24 12:25:37.953379+05:30
65,MCDOWELL-N,1250,2021-12-24 12:25:37.953379+05:30
66,HDFC,300,2021-12-24 12:25:37.953379+05:30
67,HDFCAMC,200,2021-12-24 12:25:37.953379+05:30
68,HDFCBANK,550,2021-12-24 12:25:37.953379+05:30
69,IBULHSGFIN,3100,2021-12-24 12:25:37.953379+05:30
