,STOCK_SYMBOL,LTP,INSERT_TS
0,ASIANPAINT,3425.25,2022-01-03 20:31:28.528471+05:30
1,CUB,137.2,2022-01-03 20:31:28.528471+05:30
2,AARTIIND,1016.85,2022-01-03 20:31:28.528471+05:30
3,BERGEPAINT,774.41,2022-01-03 20:31:28.528471+05:30
4,ABFRL,272.35,2022-01-03 20:31:28.528471+05:30
5,CHAMBLFERT,400.72,2022-01-03 20:31:28.528471+05:30
6,ACC,2237.13,2022-01-03 20:31:28.528471+05:30
7,ADANIENT,1722.25,2022-01-03 20:31:28.528471+05:30
8,CUMMINSIND,947.39,2022-01-03 20:31:28.528471+05:30
9,ALKEM,3640.21,2022-01-03 20:31:28.528471+05:30
10,AMARAJABAT,639.42,2022-01-03 20:31:28.528471+05:30
11,AMBUJACEM,384.6,2022-01-03 20:31:28.528471+05:30
12,APLLTD,806.39,2022-01-03 20:31:28.528471+05:30
13,APOLLOHOSP,5010.67,2022-01-03 20:31:28.528471+05:30
14,HCLTECH,1328.98,2022-01-03 20:31:28.528471+05:30
15,ATUL,9019.4,2022-01-03 20:31:28.528471+05:30
16,INDIAMART,6521.28,2022-01-03 20:31:28.528471+05:30
17,AUROPHARMA,731.33,2022-01-03 20:31:28.528471+05:30
18,AXISBANK,692.07,2022-01-03 20:31:28.528471+05:30
19,BAJAJFINSV,16823.19,2022-01-03 20:31:28.528471+05:30
20,BAJFINANCE,7135.3,2022-01-03 20:31:28.528471+05:30
21,BALKRISIND,2317.84,2022-01-03 20:31:28.528471+05:30
22,BANDHANBNK,251.59,2022-01-03 20:31:28.528471+05:30
23,BATAINDIA,1868.07,2022-01-03 20:31:28.528471+05:30
24,BEL,211.23,2022-01-03 20:31:28.528471+05:30
25,BIOCON,363.89,2022-01-03 20:31:28.528471+05:30
26,BOSCHLTD,17394.69,2022-01-03 20:31:28.528471+05:30
27,BSOFT,563.17,2022-01-03 20:31:28.528471+05:30
28,CADILAHC,479.91,2022-01-03 20:31:28.528471+05:30
29,CANBK,203.14,2022-01-03 20:31:28.528471+05:30
30,CIPLA,931.91,2022-01-03 20:31:28.528471+05:30
31,COALINDIA,152.76,2022-01-03 20:31:28.528471+05:30
32,COFORGE,5969.55,2022-01-03 20:31:28.528471+05:30
33,COLPAL,1473.86,2022-01-03 20:31:28.528471+05:30
34,COROMANDEL,756.97,2022-01-03 20:31:28.528471+05:30
35,DABUR,581.81,2022-01-03 20:31:28.528471+05:30
36,DIVISLAB,4660.71,2022-01-03 20:31:28.528471+05:30
37,DIXON,5529.82,2022-01-03 20:31:28.528471+05:30
38,DLF,395.1,2022-01-03 20:31:28.528471+05:30
39,DRREDDY,4872.8,2022-01-03 20:31:28.528471+05:30
40,EICHERMOT,2704.01,2022-01-03 20:31:28.528471+05:30
41,ESCORTS,1903.76,2022-01-03 20:31:28.528471+05:30
42,FEDERALBNK,85.91,2022-01-03 20:31:28.528471+05:30
43,FSL,188.96,2022-01-03 20:31:28.528471+05:30
44,GAIL,130.7,2022-01-03 20:31:28.528471+05:30
45,GLENMARK,525.34,2022-01-03 20:31:28.528471+05:30
46,GMRINFRA,46.82,2022-01-03 20:31:28.528471+05:30
47,GODREJCP,963.92,2022-01-03 20:31:28.528471+05:30
48,GRASIM,1642.41,2022-01-03 20:31:28.528471+05:30
49,GSPL,298.71,2022-01-03 20:31:28.528471+05:30
50,GUJGASLTD,639.66,2022-01-03 20:31:28.528471+05:30
51,HAL,1234.7,2022-01-03 20:31:28.528471+05:30
52,HDFC,2619.11,2022-01-03 20:31:28.528471+05:30
53,HDFCBANK,1507.81,2022-01-03 20:31:28.528471+05:30
54,HDFCLIFE,649.41,2022-01-03 20:31:28.528471+05:30
55,HINDALCO,475.93,2022-01-03 20:31:28.528471+05:30
56,HINDPETRO,295.85,2022-01-03 20:31:28.528471+05:30
57,HINDUNILVR,2363.28,2022-01-03 20:31:28.528471+05:30
58,IBULHSGFIN,220.18,2022-01-03 20:31:28.528471+05:30
59,IGL,474.01,2022-01-03 20:31:28.528471+05:30
60,INDHOTEL,182.13,2022-01-03 20:31:28.528471+05:30
61,INDIACEM,197.84,2022-01-03 20:31:28.528471+05:30
62,INDIGO,1979.55,2022-01-03 20:31:28.528471+05:30
63,INDUSINDBK,895.99,2022-01-03 20:31:28.528471+05:30
64,INDUSTOWER,248.38,2022-01-03 20:31:28.528471+05:30
65,INFY,1904.82,2022-01-03 20:31:28.528471+05:30
66,IOC,112.46,2022-01-03 20:31:28.528471+05:30
67,IPCALAB,2169.15,2022-01-03 20:31:28.528471+05:30
68,IRCTC,840.02,2022-01-03 20:31:28.528471+05:30
69,ITC,218.67,2022-01-03 20:31:28.528471+05:30
70,JINDALSTEL,382.6,2022-01-03 20:31:28.528471+05:30
71,IDEA,15.66,2022-01-03 20:31:28.528471+05:30
72,JKCEMENT,3475.97,2022-01-03 20:31:28.528471+05:30
73,KOTAKBANK,1810.08,2022-01-03 20:31:28.528471+05:30
74,L&TFH,78.85,2022-01-03 20:31:28.528471+05:30
75,LALPATHLAB,3852.96,2022-01-03 20:31:28.528471+05:30
76,LAURUSLABS,533.09,2022-01-03 20:31:28.528471+05:30
77,NTPC,125.9,2022-01-03 20:31:28.528471+05:30
78,OFSS,4012.03,2022-01-03 20:31:28.528471+05:30
79,LT,1923.54,2022-01-03 20:31:28.528471+05:30
80,LTTS,5714.14,2022-01-03 20:31:28.528471+05:30
81,LUPIN,947.59,2022-01-03 20:31:28.528471+05:30
82,M&MFIN,152.13,2022-01-03 20:31:28.528471+05:30
83,MANAPPURAM,167.12,2022-01-03 20:31:28.528471+05:30
84,MARICO,515.8,2022-01-03 20:31:28.528471+05:30
85,MARUTI,7529.52,2022-01-03 20:31:28.528471+05:30
86,MCDOWELL-N,903.27,2022-01-03 20:31:28.528471+05:30
87,BANKBARODA,82.99,2022-01-03 20:31:28.528471+05:30
88,MCX,1602.74,2022-01-03 20:31:28.528471+05:30
89,MGL,873.2,2022-01-03 20:31:28.528471+05:30
90,MUTHOOTFIN,1528.76,2022-01-03 20:31:28.528471+05:30
91,NAM-INDIA,353.5,2022-01-03 20:31:28.528471+05:30
92,NMDC,134.68,2022-01-03 20:31:28.528471+05:30
93,PERSISTENT,4902.52,2022-01-03 20:31:28.528471+05:30
94,PETRONET,218.17,2022-01-03 20:31:28.528471+05:30
95,PFC,122.05,2022-01-03 20:31:28.528471+05:30
96,PFIZER,5098.14,2022-01-03 20:31:28.528471+05:30
97,PIDILITIND,2474.85,2022-01-03 20:31:28.528471+05:30
98,PIIND,3069.83,2022-01-03 20:31:28.528471+05:30
99,PNB,37.76,2022-01-03 20:31:28.528471+05:30
100,RAMCOCEM,1016.83,2022-01-03 20:31:28.528471+05:30
101,ICICIGI,1411.4,2022-01-03 20:31:28.528471+05:30
102,RBLBANK,129.65,2022-01-03 20:31:28.528471+05:30
103,ABBOTINDIA,19439.44,2022-01-03 20:31:28.528471+05:30
104,RECLTD,134.54,2022-01-03 20:31:28.528471+05:30
105,RELIANCE,2392.64,2022-01-03 20:31:28.528471+05:30
106,SBICARD,927.18,2022-01-03 20:31:28.528471+05:30
107,SBILIFE,1208.16,2022-01-03 20:31:28.528471+05:30
108,SHREECEM,27123.12,2022-01-03 20:31:28.528471+05:30
109,SIEMENS,2375.51,2022-01-03 20:31:28.528471+05:30
110,SRTRANSFIN,1242.04,2022-01-03 20:31:28.528471+05:30
111,ASHOKLEY,126.54,2022-01-03 20:31:28.528471+05:30
112,STAR,454.94,2022-01-03 20:31:28.528471+05:30
113,SUNPHARMA,849.02,2022-01-03 20:31:28.528471+05:30
114,SUNTV,503.29,2022-01-03 20:31:28.528471+05:30
115,TATACHEM,908.01,2022-01-03 20:31:28.528471+05:30
116,TATAPOWER,222.0,2022-01-03 20:31:28.528471+05:30
117,TATASTEEL,1129.46,2022-01-03 20:31:28.528471+05:30
118,TCS,3807.42,2022-01-03 20:31:28.528471+05:30
119,TECHM,1794.14,2022-01-03 20:31:28.528471+05:30
